status	path	width	height	changedPixels	totalPixels	diffRatio	maxChannelDelta	comparison
M	tdesign-component/example/test/goldens/notice_bar_close_post_action_light.png	375	1581	16343	592875	0.02756568	1	example/test/goldens/notice_bar_close_post_action_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_entrance_post_action_dark.png	375	1581	16155	592875	0.02724858	1	example/test/goldens/notice_bar_entrance_post_action_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_entrance_post_action_light.png	375	1581	16377	592875	0.02762302	1	example/test/goldens/notice_bar_entrance_post_action_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_page_dark.png	375	1581	16625	592875	0.02804132	1	example/test/goldens/notice_bar_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_page_light.png	375	1581	17070	592875	0.02879190	1	example/test/goldens/notice_bar_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_scroll_post_action_dark.png	375	1581	16625	592875	0.02804132	1	example/test/goldens/notice_bar_scroll_post_action_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_scroll_post_action_light.png	375	1581	17070	592875	0.02879190	1	example/test/goldens/notice_bar_scroll_post_action_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_bottom_left_opened_dark.png	375	812	5934	304500	0.01948768	231	example/test/goldens/popover_placement_bottom_left_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_bottom_left_opened_light.png	375	812	5910	304500	0.01940887	231	example/test/goldens/popover_placement_bottom_left_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_bottom_right_opened_dark.png	375	812	5929	304500	0.01947126	231	example/test/goldens/popover_placement_bottom_right_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_bottom_right_opened_light.png	375	812	5901	304500	0.01937931	231	example/test/goldens/popover_placement_bottom_right_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_top_left_opened_dark.png	375	812	5875	304500	0.01929392	231	example/test/goldens/popover_placement_top_left_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_top_left_opened_light.png	375	812	5912	304500	0.01941544	231	example/test/goldens/popover_placement_top_left_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_top_right_opened_dark.png	375	812	5867	304500	0.01926765	231	example/test/goldens/popover_placement_top_right_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/popover_placement_top_right_opened_light.png	375	812	5905	304500	0.01939245	231	example/test/goldens/popover_placement_top_right_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/progress_page_dark.png	375	2018	185038	756750	0.24451668	237	example/test/goldens/progress_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/progress_page_light.png	375	2018	158163	756750	0.20900297	255	example/test/goldens/progress_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/pull_down_refresh_basic_post_action_light.png	375	812	42	304500	0.00013793	1	example/test/goldens/pull_down_refresh_basic_post_action_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/pull_down_refresh_custom_text_post_action_light.png	375	812	22017	304500	0.07230542	1	example/test/goldens/pull_down_refresh_custom_text_post_action_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/pull_down_refresh_page_light.png	375	2008	375	753000	0.00049801	1	example/test/goldens/pull_down_refresh_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/radio_page_dark.png	375	2600	949	975000	0.00097333	1	example/test/goldens/radio_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/radio_page_light.png	375	2600	949	975000	0.00097333	1	example/test/goldens/radio_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/rate_page_dark.png	375	1819	4937	682125	0.00723768	1	example/test/goldens/rate_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/rate_page_light.png	375	1819	6217	682125	0.00911417	1	example/test/goldens/rate_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/skeleton_page_light.png	375	1991	375	746625	0.00050226	1	example/test/goldens/skeleton_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/slider_page_dark.png	375	2842	162531	1065750	0.15250387	254	example/test/goldens/slider_page_dark-develop-diff-current.png
